City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,qaanaaq,77.484,-69.3632,43.38,66,81,3.89,GL,1659324369
1,genhe,50.7833,121.5167,80.76,39,33,6.26,CN,1659324370
2,brewster,41.3973,-73.6171,75.61,83,0,0.0,US,1659324371
3,yar-sale,66.8333,70.8333,56.66,61,5,8.59,RU,1659324371
4,dikson,73.5069,80.5464,41.29,94,100,9.46,RU,1659324372
5,severo-kurilsk,50.6789,156.125,55.83,76,48,9.86,RU,1659324238
6,yashkul,46.1711,45.3435,80.94,50,0,2.64,RU,1659324372
7,batticaloa,7.7102,81.6924,80.87,78,99,3.33,LK,1659324373
8,villamor,6.7047,124.5186,82.72,75,100,2.77,PH,1659324373
9,bambanglipuro,-7.95,110.2833,82.42,65,50,4.61,ID,1659324374
10,punta arenas,-53.15,-70.9167,41.11,81,75,10.36,CL,1659324146
11,boden,65.8252,21.6886,55.4,96,98,1.86,SE,1659324374
12,gigmoto,13.7796,124.39,86.23,69,100,8.34,PH,1659324375
13,bluff,-46.6,168.3333,52.81,72,100,16.87,NZ,1659324375
14,solnechnyy,50.7214,136.6319,81.97,58,99,7.92,RU,1659324375
15,tuktoyaktuk,69.4541,-133.0374,62.6,63,40,8.05,CA,1659324376
16,bilibino,68.0546,166.4372,67.03,38,66,8.93,RU,1659324376
17,longyearbyen,78.2186,15.6401,49.84,81,40,2.3,SJ,1659324265
18,malmesbury,-33.4608,18.7271,40.01,77,0,5.79,ZA,1659324377
19,new norfolk,-42.7826,147.0587,54.9,56,30,11.05,AU,1659324377
20,sinnamary,5.3833,-52.95,77.9,87,99,6.69,GF,1659324143
21,ponta do sol,32.6667,-17.1,70.72,80,4,2.77,PT,1659324378
22,esna,25.2934,32.554,84.79,24,82,7.07,EG,1659324378
23,pisco,-13.7,-76.2167,60.85,82,100,5.75,PE,1659324298
24,mataura,-46.1927,168.8643,52.48,70,87,8.12,NZ,1659324379
25,lorengau,-2.0226,147.2712,84.18,74,99,10.8,PG,1659324379
26,albany,42.6001,-73.9662,72.3,76,100,2.17,US,1659324120
27,faanui,-16.4833,-151.75,78.1,73,10,25.5,PF,1659324380
28,rikitea,-23.1203,-134.9692,71.67,76,98,25.34,PF,1659324196
29,yambio,4.5721,28.3955,65.03,98,56,2.73,SS,1659324380
30,isangel,-19.55,169.2667,82.51,74,40,10.36,VU,1659324168
31,talakan,50.3167,130.3667,79.65,76,99,5.32,RU,1659324381
32,praia da vitoria,38.7333,-27.0667,70.05,88,20,5.12,PT,1659324258
33,castro,-24.7911,-50.0119,51.85,80,0,2.44,BR,1659324382
34,cape town,-33.9258,18.4232,54.37,73,0,9.22,ZA,1659324382
35,palmer,42.1584,-72.3287,74.86,75,75,3.44,US,1659324382
36,butaritari,3.0707,172.7902,81.82,77,68,13.62,KI,1659324383
37,srandakan,-7.9386,110.2506,82.38,65,48,5.08,ID,1659324383
38,avarua,-21.2078,-159.775,77.05,78,40,10.36,CK,1659324379
39,ribeira grande,38.5167,-28.7,73.49,76,15,8.9,PT,1659324384
40,hamilton,39.1834,-84.5333,71.24,91,0,5.75,US,1659324219
41,erenhot,43.6475,111.9767,86.18,35,100,10.36,CN,1659324384
42,tiksi,71.6872,128.8694,40.23,94,100,16.93,RU,1659324385
43,chuy,-33.6971,-53.4616,46.76,88,37,3.74,UY,1659324385
44,namatanai,-3.6667,152.4333,84.97,69,96,11.43,PG,1659324385
45,vaini,-21.2,-175.2,78.96,100,75,6.91,TO,1659324386
